Provinsi,2018,2019,2020,2021,2022,2023
ACEH,57072.44,12312.1,3824.54,774.4,1406.31,3934.0
SUMATERA UTARA,401949.72,512431.77,452308.8,453118.88,584728.4,539082.7
SUMATERA BARAT,201097.35,284134.54,321917.73,303344.86,389413.95,360894.1
RIAU,35010.86,12224.04,7000.82,4066.73,2380.91,6725.2
JAMBI,17500.19,22702.11,30341.74,42392.32,69078.65,42869.6
SUMATERA SELATAN,179466.97,136806.64,183084.08,185928.45,229672.82,221202.0
BENGKULU,1361.19,10841.65,6739.02,8250.92,8277.59,9816.2
LAMPUNG,113298.38,130824.31,193270.51,197993.17,213206.31,235555.6
KEP. BANGKA BELITUNG,5805.76,10579.74,8436.25,27037.46,22741.1,32166.9
KEP. RIAU,3868.09,13987.16,16111.78,17822.64,20897.07,20143.7
DKI JAKARTA,28904.49,0.0,0.0,0.0,0.0,0.0
JAWA BARAT,802859.62,468872.04,587201.77,661895.15,699384.4,787467.1
JAWA TENGAH,586399.75,499631.62,659387.54,735883.59,827711.57,875492.3
DI YOGYAKARTA,111612.84,62845.28,107288.18,129785.12,168303.0,154407.4
JAWA TIMUR,1320412.84,1632492.46,1622995.39,1475886.12,1314114.93,1755885.0
BANTEN,218054.01,204375.87,244612.91,235099.35,318552.4,265716.3
BALI,155160.99,186310.54,193926.71,191589.11,176855.43,227936.6
NUSA TENGGARA BARAT,20441.1,33946.61,42451.2,45991.24,40154.99,54716.5
NUSA TENGGARA TIMUR,18968.35,9186.98,3885.97,5229.98,6266.03,6222.2
KALIMANTAN BARAT,80389.47,115402.45,70496.3,53475.51,70235.91,63620.6
KALIMANTAN TENGAH,1551.06,7390.76,7338.04,8396.73,3050.77,9989.7
KALIMANTAN SELATAN,108110.77,86776.77,87548.47,84160.59,106115.05,100127.2
KALIMANTAN TIMUR,8592.32,33346.33,26867.21,30229.35,29051.65,35964.3
KALIMANTAN UTARA,7335.13,607.06,1405.4,2213.16,1014.67,2633.0
SULAWESI UTARA,14267.04,26587.86,32996.22,33302.47,30760.56,39620.5
SULAWESI TENGAH,12068.82,13834.73,19360.75,17528.05,13208.53,20853.4
SULAWESI SELATAN,140662.17,194650.44,180414.43,176766.8,188248.24,210302.2
SULAWESI TENGGARA,4578.29,2831.72,3014.32,2134.85,1459.71,2717.7
GORONTALO,6180.16,3819.14,4177.81,2728.33,2164.63,3570.5
SULAWESI BARAT,0.0,2482.08,948.45,164.85,541.16,1019.9
MALUKU,5.35,619.19,1048.29,1265.25,1691.11,1482.7
MALUKU UTARA,0.0,88.4,159.63,37.09,160.21,185.3
PAPUA BARAT,24974.68,8225.65,6160.84,7517.32,9648.27,8943.5
PAPUA BARAT DAYA,267892.6088571428,271621.8417142857,293803.99942857143,294628.43742857146,318076.5394285715,0.0
PAPUA,160.45,12214.19,14848.88,13987.82,15843.11,16641.5
PAPUA SELATAN,267892.6088571428,271621.8417142857,293803.99942857143,294628.43742857146,318076.5394285715,0.0
PAPUA TENGAH,267892.6088571428,271621.8417142857,293803.99942857143,294628.43742857146,318076.5394285715,0.0
PAPUA PEGUNUNGAN,267892.6088571428,271621.8417142857,293803.99942857143,294628.43742857146,318076.5394285715,0.0
